Class	Ind	Var	order
CO2	Net	Emi_CO2	1
CO2	Gross	Gro_Emi_CO2	2
CO2	CDR	Car_Rem	3
CO2	CDR_Land	Car_Rem_Lan_Use	4
CO2	CCS	Car_Seq_CCS	5
Energy	Fossil	Prm_Ene_Fos	1
Energy	Bio	Prm_Ene_Bio	2
Energy	Solar	Prm_Ene_Solar	3
Energy	Wind	Prm_Ene_Win	4
Energy	Hydrogen	Sec_Ene_Hyd	5
Energy	DAC	Sec_Ene_Inp_Tot_DAC	6
Energy	DACCS	Fin_Ene_Car_Man_Dir_Air_Cap	7
